StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q3_5_TEXT,Q4,Q4_6_TEXT,Q5,Q5_4_TEXT,Q6,Q6_8_TEXT,Q23_1,Q23_2,Q23_3,Q21,Q27,Q25,Q8,Q24,Q9,Q25_First Click,Q25_Last Click,Q25_Page Submit,Q25_Click Count,Q13_1,Q13_2,Q13_3,Q17,Q18,Q18_7_TEXT,Q19,Q20,Q22,Q21
2023-03-27 06:55:34,2023-03-27 07:26:11,0,130.223.63.169,100,1837,1,2023-03-27 07:26:12,R_25ts7uZ0dw2mgEY,,,,,46.488,6.607,anonymous,FR,26,22,2,,3,,3,,3,,,,,,1,1,,,,0,0,302.146,0,0,0,0,5,3,,"je n'ai pas pris de sandwich car je n'avais pas faim ",1,2,
2023-03-27 06:51:35,2023-03-27 07:33:37,0,130.223.63.61,100,2522,1,2023-03-27 07:33:37,R_PZpMuh8KF6fOZUt,,,,,46.488,6.607,anonymous,FR,59,24,2,,2,,3,,3,,,,,,1,1,,,,0,0,322.202,0,0,0,0,1,3,,"j'aime le pesto; j'aime les légumes; sandwich différent des classiques jambon fromage ou viande séchée; il avait l'air bon; pas de cornichons",1,2,
2023-03-27 06:58:50,2023-03-27 07:38:07,0,130.223.62.60,100,2356,1,2023-03-27 07:38:08,R_2EcScmqYh5Vc0Tu,,,,,46.488,6.607,anonymous,EN,136,27,2,,1,,1,,3,,17,27,27,,,,1,2,1,0,0,308.357,0,0,19,19,1,1,,It was veggie and looked tasty,1,2,2
2023-03-27 07:27:36,2023-03-27 07:47:04,0,130.223.63.169,100,1168,1,2023-03-27 07:47:04,R_3emKYQy6HBEcQjX,,,,,46.488,6.607,anonymous,EN,55,23,2,,2,,1,,4,,,33,34,,1,1,,,,0,0,304.859,0,5,0,0,2,7,No red meat (pork included),It was vegetarian and looked tasty,2,2,
2023-03-27 07:36:12,2023-03-27 07:57:43,0,130.223.63.61,100,1291,1,2023-03-27 07:57:44,R_2SdiWf9r2bl5jYE,,,,,46.488,6.607,anonymous,EN,106,22,1,,1,,1,,3,,8,27,32,,,,1,1,1,0,0,308.795,0,90,90,46,1,3,,"Because I had just said that I care about CO2 emissions and there was clearly written the amount of CO2 emitted for each sandwich. Still I was not so sure because I can barely afford meat in Switzerland; but when i read that there was butter with the ham and cheese it was also a matter of good taste. Therefore; my final choice was pesto; because the hummus one didn't seem inviting.",1,1,1
2023-03-27 08:20:21,2023-03-27 08:39:39,0,130.223.63.169,100,1157,1,2023-03-27 08:39:39,R_247cZOvsjjqDPTU,,,,,46.488,6.607,anonymous,FR,25,23,2,,3,,2,,2,,,,,,1,1,,,,0,0,349.42,0,47,47,48,5,3,,-,1,1,
2023-03-28 01:38:22,2023-03-28 02:26:58,0,130.223.62.60,100,2915,1,2023-03-28 02:26:58,R_3h4m9cewvEyLfee,,,,,46.488,6.607,anonymous,EN,52,21,2,,1,,1,,2,,0,5,21,,1,1,,,,310.919,310.919,311.163,1,0,0,37,3,3,,"I like ham and cheese; and the pesto one seemed very greasy. ",1,2,
2023-03-28 01:40:17,2023-03-28 02:31:00,0,130.223.63.169,100,3043,1,2023-03-28 02:31:01,R_1NmECKP5VV2w7fZ,,,,,46.488,6.607,anonymous,FR,57,23,2,,1,,1,,3,,64,66,22,,1,1,,,,0,0,319.915,0,37,39,40,2,1,,"je suis végé mais j'essaie d'être le plus végan que possible et hoummous me donne une inspiration végane; pesto c'était végane aussi j'ai remarqué après mais je suis pas hyper fan de pesto du coup j'avais pas vraiment regardé celui là",3,1,
2023-03-28 01:39:46,2023-03-28 03:17:09,0,130.223.63.61,100,5843,1,2023-03-28 03:17:10,R_b1mlehv12McpPvX,,,,,46.488,6.607,anonymous,FR,137,21,2,,1,,2,,3,,20,39,10,,,,1,1,1,0,0,324.516,0,3,5,4,3,3,,"J'avais une envie de jambon ",1,2,2
2023-03-28 03:00:04,2023-03-28 03:17:15,0,130.223.63.169,100,1030,1,2023-03-28 03:17:17,R_3xdt14iZIfHvRyp,,,,,46.488,6.607,anonymous,FR,109,22,2,,1,,2,,3,,,,,,,,1,1,1,0,0,373.68,0,0,0,0,1,3,,il avait l'air bon j'adore le pesto,1,2,2
2023-03-28 03:00:23,2023-03-28 03:17:27,0,130.223.62.60,100,1023,1,2023-03-28 03:17:28,R_3KSD7RQUH9W2m9m,,,,,46.488,6.607,anonymous,FR,129,20,2,,1,,2,,3,,74,77,22,,,,1,1,1,0,0,380.887,0,0,0,0,2,7,pesco vegetarien,me donnait le plus envie et je ne mange pas de viande,1,2,2
2023-03-29 01:39:31,2023-03-29 02:31:14,0,130.223.63.169,100,3102,1,2023-03-29 02:31:15,R_z7rihGbjc6YvUcN,,,,,46.488,6.607,anonymous,FR,67,28,1,,1,,1,,3,,,,,,1,1,,,,0,0,310.587,0,0,0,7,1,1,,Végétarien et aspect général (il avait l'air meilleur que le carotte),1,1,
2023-03-29 01:38:48,2023-03-29 02:45:08,0,130.223.63.61,100,3979,1,2023-03-29 02:45:08,R_3Dj2WVhpvEzWgtf,,,,,46.488,6.607,anonymous,FR,60,24,2,,1,,2,,3,,,11,,,1,1,,,,0,0,301.737,0,0,0,7,3,7,Pas de régime particulier,J'hésitais entre jambon/fromage et viande séchée. Mon choix s'est porté vers celui au jambon/fromage car j'avais envie d'un peu de fromage.,1,2,
2023-03-29 01:37:52,2023-03-29 02:55:01,0,130.223.62.60,100,4629,1,2023-03-29 02:55:01,R_tPrXgQrxUZtiL6N,,,,,46.488,6.607,anonymous,FR,42,23,1,,1,,4,Aucune,4,,,,,,1,1,,,,0,0,303.365,0,2,2,2,5,3,,Je n'avais pas faim pour un sandwich,1,2,
2023-03-29 02:37:51,2023-03-29 03:27:41,0,130.223.63.169,100,2989,1,2023-03-29 03:27:42,R_2SIVsxYqqpr2JOJ,,,,,46.488,6.607,anonymous,FR,110,31,1,,1,,1,,4,,9,9,,,,,1,2,1,0,0,305.097,0,0,0,0,4,7,"Fléxitarien ","Rare que je puisse manger de la viande séché ",1,2,2
2023-03-29 02:59:51,2023-03-29 03:38:23,0,130.223.62.60,100,2312,1,2023-03-29 03:38:24,R_2dSKmR2Gzdi0opu,,,,,46.488,6.607,anonymous,EN,120,23,2,,1,,2,,3,,,,,,,,1,1,1,0,0,312.46,0,0,0,0,1,7,"Flexitarian; Vegetarian and Dairy free majority of the time; but when travelling or a guest am flexible with diet","Because it looked the most interesting; fit within my dietary life style; and I have a slight intollerance to chickpeas so wasn't sure about the hummus",1,2,2
2023-03-29 02:46:30,2023-03-29 03:41:03,0,130.223.63.61,100,3272,1,2023-03-29 03:41:03,R_2CB7TxTvjf6v024,,,,,46.488,6.607,anonymous,FR,14,23,2,,1,,2,,3,,,17,,,1,2,,,,0,0,317.666,0,0,0,0,5,3,,"J'ai choisi aucun sandwich car on m'a dit qu'il y avait des aubergines et je suis allergique à ces dernières. ",2,2,
2023-03-29 03:28:53,2023-03-29 03:51:35,0,130.223.63.169,100,1362,1,2023-03-29 03:51:36,R_09f4SoqlbMWdW8N,,,,,46.488,6.607,anonymous,EN,69,25,1,,1,,1,,3,,9,3,5,,1,1,,,,0,0,347.733,0,9,5,25,2,3,,Because I didn't want to eat meat and the hummus won over the eggplant,1,3,
2023-03-29 03:42:09,2023-03-29 03:59:45,0,130.223.63.61,100,1055,1,2023-03-29 03:59:46,R_3PS71e8LXVD44EN,,,,,46.488,6.607,anonymous,FR,65,22,1,,1,,3,,2,,,,,,1,1,,,,0,0,307.432,0,0,0,0,3,3,,"par élimination : je préfère la viande; je n'aime pas le pesto; etc.",1,2,
2023-03-29 03:39:38,2023-03-29 04:05:01,0,130.223.62.60,100,1522,1,2023-03-29 04:05:02,R_3ilsxc2brmNFHTY,,,,,46.488,6.607,anonymous,FR,88,19,1,,1,,4,"Difficile de simplement se placer sur l'axe politique uniquement caractérisé par gauche et droite; il faudrait faire entrer d'autres facteurs en jeu; mais en soit je ne suis pas un grand fervent du libéralisme ",2,,0,,2,,,,1,1,1,11.819,13.619,316.054,3,58,0,69,2,3,,"Car j'ai constaté qu'il était largement celui ayant l'empreinte carbone la plus faible. Bien que j'aurais de base pris celui à la viande séchée; je me suis dit étant donné de l'évidence sous mes yeux qu'il était plus judicieux de prendre celui au houmous étant donné que j'apprécie tout de même le houmous.",1,1,1
2023-04-05 01:38:34,2023-04-05 02:48:06,0,130.223.63.169,100,4172,1,2023-04-05 02:48:07,R_2QrLuqvgndA0060,,,,,46.488,6.607,anonymous,FR,127,26,1,,1,,4,absente,4,,9,13,14,,,,1,1,1,0,0,427.267,0,66,1,67,2,3,,"Je pense que la couleur orange des carottes attiré mon oeil en premier. Ensuite évidemment la pression d'être filmé et l'eqco2 écrit en information; on a forcément pas envie de prendre ceux à la viande. Il était bon d'ailleurs; très bon ",1,1,1
2023-04-05 01:40:06,2023-04-05 03:08:17,0,130.223.63.61,100,5291,1,2023-04-05 03:08:18,R_8ji7rzWk27GZlIJ,,,,,46.488,6.607,anonymous,FR,19,22,2,,1,,1,,3,,4,2,0,,1,1,,,,0,0,319.022,0,0,12,7,4,3,,il semble bon et vu que je ne suis pas vg ou vegan c'était mieux de laisser ces options la,3,2,
2023-04-05 02:49:24,2023-04-05 03:49:18,0,130.223.63.169,100,3593,1,2023-04-05 03:49:19,R_12fqWlgoTVm1Ire,,,,,46.488,6.607,anonymous,FR,85,24,1,,3,,2,,2,,3,2,0,,,,1,1,1,0,0,301.571,0,12,6,6,4,3,,"Source de protéine plus ""importante""",1,1,2
2023-04-06 06:05:54,2023-04-06 06:52:54,0,130.223.63.169,100,2820,1,2023-04-06 06:52:55,R_1flvjPCLLZcUqV6,,,,,46.488,6.607,anonymous,FR,24,19,2,,1,,1,,2,,0,0,0,,1,2,,,,0,0,317.175,0,0,0,0,1,1,,"car il j'adore les aubergines et le pesto ",1,3,
2023-04-06 06:03:59,2023-04-06 06:58:59,0,130.223.63.61,100,3299,1,2023-04-06 06:58:59,R_blKaGo1loER2TRf,,,,,46.488,6.607,anonymous,FR,135,24,2,,1,,3,,3,,,,,,,,1,1,1,0,0,309.042,0,1,1,0,1,3,,"Celui qui me faisait le plus envie; tout simplement (pesto)",2,1,2
2023-04-06 06:05:26,2023-04-06 07:02:12,0,130.223.62.60,100,3405,1,2023-04-06 07:02:13,R_8FX66ny5ih8zy2R,,,,,46.488,6.607,anonymous,FR,6,23,1,,1,,1,,3,,,15,,,1,1,,,,0,0,307.041,0,0,0,0,3,3,,C'est ce que je préfère niveau goût,1,2,
2023-04-06 06:54:26,2023-04-06 07:15:08,0,130.223.63.169,100,1242,1,2023-04-06 07:15:09,R_3IbfMOLTn6BysMJ,,,,,46.488,6.607,anonymous,FR,31,23,2,,1,,4,aucune orientation précise,3,,,,,,1,1,,,,0,0,303.527,0,0,0,0,3,3,,"Celui dont javais envie aujourdhui ",1,2,
2023-04-06 06:59:44,2023-04-06 07:17:26,0,130.223.63.61,100,1061,1,2023-04-06 07:17:26,R_2OSYJudQzydzKdW,,,,,46.488,6.607,anonymous,FR,73,21,2,,1,,2,,8,collégiale (quebec),,,,,,,1,1,1,0,0,301.992,0,0,0,0,3,3,,il semblait bon,1,2,2
2023-04-06 07:18:05,2023-04-06 07:39:46,0,130.223.63.169,100,1301,1,2023-04-06 07:39:47,R_3fZ704f5jTxa0m5,,,,,46.488,6.607,anonymous,FR,133,22,2,,1,,2,,3,,0,,6,,,,1,1,1,0,0,303.737,0,10,1,9,1,3,,Sans viande et à l'aspect,1,2,2
2023-04-06 07:18:12,2023-04-06 07:58:02,0,130.223.63.61,100,2390,1,2023-04-06 07:58:03,R_2v85Q5snokK9hZG,,,,,46.488,6.607,anonymous,EN,83,23,1,,1,,1,,3,,,,,,,,1,1,1,301.699,301.699,302.431,1,0,0,0,1,3,,Because I liked its components.,1,2,1
2023-04-06 07:41:18,2023-04-06 08:21:45,0,130.223.63.169,100,2426,1,2023-04-06 08:21:46,R_7Ny7J94mEIgCbBf,,,,,46.488,6.607,anonymous,FR,138,33,2,,1,,4,Aucune,4,,12,3,,,,,1,1,1,0,0,302.529,0,0,0,0,5,3,,Je n'ai choisi aucun sandwich,1,2,2
2023-04-06 08:10:22,2023-04-06 08:26:26,0,130.223.63.61,100,963,1,2023-04-06 08:26:27,R_21jFAFNfGioAHnY,,,,,46.488,6.607,anonymous,FR,30,23,2,,1,,1,,2,,7,4,6,,1,1,,,,0,0,301.307,0,3,2,3,5,3,,J'en ai choisi aucun,1,1,
2023-04-06 08:32:17,2023-04-06 08:54:40,0,130.223.63.169,100,1342,1,2023-04-06 08:54:40,R_3KMWis7P2PTkXEz,,,,,46.488,6.607,anonymous,FR,89,21,1,,2,,1,,2,,9,21,11,,,,1,1,1,0,0,302.663,0,0,4,23,2,1,,"Je suis végétarien; donc j'avais seulement deux choix. Peut-être que la quantité équivalente de CO2 a influencé mon choix; mais principalement c'était parce que je n'aime pas l'aubergine.",1,2,2
2023-04-06 08:56:41,2023-04-06 09:20:32,0,130.223.63.169,100,1431,1,2023-04-06 09:20:33,R_1kZTcORlsn6WD5c,,,,,46.488,6.607,anonymous,FR,107,23,2,,1,,1,,4,,6,,,,,,1,1,1,0,0,308.675,0,45,2,21,5,3,,parce que je n avais pas faim,1,2,2
